Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2014;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2011;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;73
2013;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;75
2019;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150
2018;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151
2012;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;73
2020;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;149
2016;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84
2017;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;107
2023;118;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;118;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215
2022;118;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;118;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;118;ARIYA;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;118;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2024;118;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2019;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2019;119;NIRO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;239
2022;119;SORENTO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2023;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2023;119;SPORTAGE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;34
2020;119;NIRO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;239
2016;119;SOUL;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93
2017;119;SOUL EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93
2023;119;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2023;119;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
2023;119;SORENTO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2018;119;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26
